sol,month,min_temp,max_temp,pressure,atmo_opacity
1692,Month 1,-62,-11,820,Sunny
1690,Month 1,-76,-14,840,Sunny
1689,Month 1,-75,-10,840,Sunny
1688,Month 1,-76,-13,840,Sunny
1687,Month 12,-75,-11,838,Sunny
1686,Month 12,-75,-13,838,Sunny
1685,Month 12,-77,-14,838,Sunny
1684,Month 12,-75,-14,837,Sunny
1683,Month 12,-75,-15,837,Sunny
1682,Month 12,-76,-13,839,Sunny
1681,Month 12,-74,-12,837,Sunny
1680,Month 12,-74,-11,835,Sunny
1679,Month 12,-75,-12,836,Sunny
1678,Month 12,-74,-11,836,Sunny
1677,Month 12,-74,-8,835,Sunny
1676,Month 12,-76,-11,837,Sunny
1675,Month 12,-75,-6,835,Sunny
1674,Month 12,-75,-6,835,Sunny
1673,Month 12,-75,-6,836,Sunny
1672,Month 12,-74,-5,833,Sunny
1671,Month 12,-76,-7,832,Sunny
1670,Month 12,-76,-12,834,Sunny
1669,Month 12,-74,-12,833,Sunny
1668,Month 12,-77,-4,831,Sunny
1667,Month 12,-76,-9,833,Sunny
1666,Month 12,-76,-8,834,Sunny
1665,Month 12,-76,-7,833,Sunny
1664,Month 12,-74,-8,832,Sunny
1663,Month 12,-74,-6,832,Sunny
1662,Month 12,-75,-3,831,Sunny
1661,Month 12,-75,-5,831,Sunny
1660,Month 12,-74,-5,832,Sunny
1659,Month 12,-77,-7,832,Sunny
1658,Month 12,-77,-8,835,Sunny
1657,Month 12,-75,-9,836,Sunny
1656,Month 12,-75,-3,832,Sunny
1655,Month 12,-76,-14,831,Sunny
1654,Month 12,-75,-17,829,Sunny
1653,Month 12,-75,-15,833,Sunny
1652,Month 12,-76,-15,834,Sunny
1651,Month 12,-77,-8,833,Sunny
1650,Month 12,-75,-8,833,Sunny
1649,Month 12,-74,-8,830,Sunny
1648,Month 12,-73,-14,830,Sunny
1647,Month 12,-73,-3,831,Sunny
1646,Month 12,-74,-8,831,Sunny
1645,Month 12,-74,-3,832,Sunny
1644,Month 12,-74,-10,832,Sunny
1643,Month 12,-74,-11,832,Sunny
1642,Month 12,-72,-13,829,Sunny
1641,Month 12,-72,-6,831,Sunny
1640,Month 12,-72,-8,832,Sunny
1639,Month 12,-71,-6,832,Sunny
1638,Month 12,-73,-9,833,Sunny
1637,Month 12,-73,-10,833,Sunny
1636,Month 12,-72,-14,834,Sunny
1635,Month 12,-73,-7,833,Sunny
1634,Month 12,-72,-5,834,Sunny
1633,Month 12,-75,-4,834,Sunny
1632,Month 12,-72,-4,836,Sunny
1631,Month 11,-77,-6,837,Sunny
1630,Month 11,-77,-6,838,Sunny
1629,Month 11,-74,-8,837,Sunny
1628,Month 11,-71,-8,839,Sunny
1627,Month 11,-72,-9,838,Sunny
1626,Month 11,-71,-11,839,Sunny
1625,Month 11,-71,-8,839,Sunny
1624,Month 11,-72,-8,837,Sunny
1623,Month 11,-71,-10,840,Sunny
1622,Month 11,-71,-9,841,Sunny
1621,Month 11,-73,-13,842,Sunny
1620,Month 11,-70,-9,844,Sunny
1619,Month 11,-73,-8,841,Sunny
1618,Month 11,-71,-7,845,Sunny
1617,Month 11,-72,-8,840,Sunny
1616,Month 11,-73,-8,848,Sunny
1615,Month 11,-73,-5,842,Sunny
1614,Month 11,-73,-8,837,Sunny
1613,Month 11,-72,-2,846,Sunny
1612,Month 11,NaN,NaN,NaN,Sunny
1611,Month 11,NaN,NaN,NaN,Sunny
1610,Month 11,NaN,NaN,NaN,Sunny
1609,Month 11,-71,-7,847,Sunny
1608,Month 11,-72,-8,847,Sunny
1607,Month 11,-77,-12,846,Sunny
1606,Month 11,-75,-10,850,Sunny
1605,Month 11,-73,-13,846,Sunny
1604,Month 11,-77,-11,850,Sunny
1603,Month 11,-76,-5,847,Sunny
1602,Month 11,-77,-5,852,Sunny
1601,Month 11,-71,-2,853,Sunny
1600,Month 11,-71,-7,850,Sunny
1599,Month 11,-72,-7,853,Sunny
1598,Month 11,-70,-4,849,Sunny
1597,Month 11,-73,-8,855,Sunny
1596,Month 11,-74,-6,850,Sunny
1595,Month 11,-71,-7,855,Sunny
1594,Month 11,-74,-6,855,Sunny
1593,Month 11,-72,-1,852,Sunny
1592,Month 11,-71,0,857,Sunny
1591,Month 11,-73,-1,852,Sunny
1590,Month 11,-76,-1,860,Sunny
1589,Month 11,-72,-2,857,Sunny
1588,Month 11,-72,0,858,Sunny
1587,Month 11,-73,-1,860,Sunny
1586,Month 11,-72,-1,858,Sunny
1585,Month 11,-76,-2,864,Sunny
1584,Month 11,-77,-2,860,Sunny
1583,Month 11,-75,-4,862,Sunny
1582,Month 11,-74,-1,862,Sunny
1581,Month 10,-72,-1,862,Sunny
1580,Month 10,-72,-2,867,Sunny
1579,Month 10,-73,-3,862,Sunny
1578,Month 10,-74,-5,868,Sunny
1577,Month 10,-72,-3,866,Sunny
1576,Month 10,-72,-1,869,Sunny
1575,Month 10,-73,0,871,Sunny
1574,Month 10,-72,4,868,Sunny
1573,Month 10,-74,-2,872,Sunny
1572,Month 10,-81,-6,869,Sunny
1571,Month 10,-70,-3,873,Sunny
1570,Month 10,-71,-6,873,Sunny
1569,Month 10,-70,-4,873,Sunny
1568,Month 10,-71,-5,876,Sunny
1567,Month 10,-70,-5,872,Sunny
1566,Month 10,-76,-6,876,Sunny
1565,Month 10,-72,-6,874,Sunny
1564,Month 10,-70,-7,877,Sunny
1563,Month 10,-75,-6,879,Sunny
1562,Month 10,-73,-5,877,Sunny
1561,Month 10,-77,-8,877,Sunny
1560,Month 10,-76,-10,877,Sunny
1559,Month 10,-76,-7,879,Sunny
1558,Month 10,-72,-6,880,Sunny
1557,Month 10,-70,-6,883,Sunny
1556,Month 10,-72,-5,883,Sunny
1555,Month 10,-71,-6,883,Sunny
1554,Month 10,-70,-7,882,Sunny
1553,Month 10,-77,-9,884,Sunny
1552,Month 10,-74,-6,886,Sunny
1551,Month 10,-71,0,886,Sunny
1550,Month 10,-71,-1,888,Sunny
1549,Month 10,-76,-2,887,Sunny
1548,Month 10,-76,-8,887,Sunny
1547,Month 10,-75,-8,887,Sunny
1546,Month 10,-73,-7,889,Sunny
1545,Month 10,-73,3,891,Sunny
1544,Month 10,-71,1,894,Sunny
1543,Month 10,-74,-7,896,Sunny
1542,Month 10,-73,-9,895,Sunny
1541,Month 10,-76,-8,895,Sunny
1540,Month 10,-72,-3,896,Sunny
1539,Month 10,-74,-1,896,Sunny
1538,Month 10,-73,-3,898,Sunny
1537,Month 10,-74,-7,900,Sunny
1536,Month 10,-71,-4,901,Sunny
1535,Month 10,-73,-1,900,Sunny
1534,Month 10,-73,-2,898,Sunny
1533,Month 9,-72,-4,896,Sunny
1532,Month 9,-72,-3,900,Sunny
1531,Month 9,-76,-10,900,Sunny
1530,Month 9,-71,-4,899,Sunny
1529,Month 9,-73,3,900,Sunny
1528,Month 9,-72,-4,898,Sunny
1527,Month 9,-71,-6,900,Sunny
1526,Month 9,-72,-2,900,Sunny
1525,Month 9,-74,-2,902,Sunny
1524,Month 9,-76,-4,904,Sunny
1523,Month 9,-77,-10,905,Sunny
1522,Month 9,-71,-2,905,Sunny
1521,Month 9,-71,-1,905,Sunny
1520,Month 9,-73,-2,905,Sunny
1519,Month 9,-72,5,906,Sunny
1518,Month 9,-78,-8,909,Sunny
1517,Month 9,-76,2,911,Sunny
1516,Month 9,-71,4,909,Sunny
1515,Month 9,-76,3,906,Sunny
1514,Month 9,-73,0,906,Sunny
1513,Month 9,-74,-1,907,Sunny
1512,Month 9,-78,0,906,Sunny
1511,Month 9,-77,0,908,Sunny
1510,Month 9,-70,2,908,Sunny
1509,Month 9,-70,3,910,Sunny
1508,Month 9,-70,-2,907,Sunny
1507,Month 9,-70,-3,907,Sunny
1506,Month 9,-71,-1,907,Sunny
1505,Month 9,-69,2,906,Sunny
1504,Month 9,-69,-1,910,Sunny
1503,Month 9,-70,3,909,Sunny
1502,Month 9,-69,0,907,Sunny
1501,Month 9,-69,3,903,Sunny
1500,Month 9,-70,-4,903,Sunny
1499,Month 9,-69,-2,903,Sunny
1498,Month 9,-68,-9,907,Sunny
1497,Month 9,-68,-5,909,Sunny
1496,Month 9,-72,-8,906,Sunny
1495,Month 9,-71,-7,903,Sunny
1494,Month 9,-70,-8,904,Sunny
1493,Month 9,-70,-11,905,Sunny
1492,Month 9,-68,-10,910,Sunny
1491,Month 9,-69,-8,906,Sunny
1490,Month 9,-66,-10,904,Sunny
1489,Month 9,-68,-8,903,Sunny
1488,Month 9,-69,-6,902,Sunny
1487,Month 8,-68,-5,901,Sunny
1486,Month 8,-71,-1,901,Sunny
1485,Month 8,-71,3,899,Sunny
1484,Month 8,-68,4,895,Sunny
1483,Month 8,-68,1,892,Sunny
1482,Month 8,-68,2,893,Sunny
1481,Month 8,-70,1,893,Sunny
1480,Month 8,-68,1,893,Sunny
1479,Month 8,-66,3,890,Sunny
1478,Month 8,-68,1,887,Sunny
1477,Month 8,-72,0,888,Sunny
1476,Month 8,-69,2,888,Sunny
1475,Month 8,-72,2,890,Sunny
1474,Month 8,-68,2,889,Sunny
1473,Month 8,-67,4,881,Sunny
1472,Month 8,-68,5,879,Sunny
1471,Month 8,-71,4,880,Sunny
1470,Month 8,-70,1,879,Sunny
1469,Month 8,-72,1,881,Sunny
1468,Month 8,-70,5,879,Sunny
1467,Month 8,-69,-4,877,Sunny
